project;0;1;2;3;4;5;6;7;8;9;10;11
microsoft/TypeScript;538;625;662;476;372;270;228;243;220;212;152;125
microsoft/azuredatastudio;80;82;126;145;89;174;97;45;164;31;165;52
microsoft/fluentui;0;0;0;0;0;159;651;704;639;570;2014;1431
microsoft/graphrag;163;228;353;1082;1316;1564;936;772;752;792;268;208
microsoft/kernel-memory;114;66;59;82;54;82;97;71;50;21;26;16
microsoft/kiota;2186;1335;1987;2767;1743;1796;1567;491;1477;2340;2080;948
microsoft/promptflow;3057;2294;2557;2018;1762;1328;1462;1644;1344;1274;1264;1342
microsoft/pyright;180;219;396;171;182;158;55;43;107;124;157;55
microsoft/qlib;144;237;15;15;6;0;69;278;0;12;50;121
microsoft/semantic-kernel;3008;3303;2842;2742;3051;3746;2507;1258;1946;2989;3570;3059
microsoft/typespec;0;0;0;0;0;0;0;0;0;0;0;0
microsoft/vscode;1729;1711;1807;2272;2324;1932;2286;1324;2453;2602;2925;2208
mindsdb/mindsdb;619;685;771;526;622;1188;921;470;600;695;1064;1151
misskey-dev/misskey;959;925;1178;945;1437;1077;1208;700;1746;1713;1849;2026
mixxxdj/mixxx;1025;564;510;674;738;768;630;684;844;1092;786;854
mlflow/mlflow;8036;5890;4777;4234;6656;8813;7611;5057;7548;9356;7974;10567
mob-sakai/SoftMaskForUGUI;4;8;26;8;10;9;34;14;0;36;12;2
mob-sakai/UIEffect;0;0;0;0;0;0;11;24;9;35;14;25
modin-project/modin;456;250;145;220;117;8;12;14;127;376;726;782
mrdoob/three.js;749;893;1023;1096;935;746;795;803;677;750;743;506
mswjs/msw;90;104;178;210;197;265;187;159;68;194;83;339
mumble-voip/mumble;242;408;76;78;430;114;210;158;278;174;168;156
nasa/fprime;274;99;86;181;461;334;190;96;278;538;354;545
nautechsystems/nautilus_trader;199;268;234;353;294;392;254;532;478;609;386;448
naver/billboard.js;76;63;58;34;25;30;25;9;13;20;17;78
netbox-community/netbox;460;402;440;435;465;500;328;198;184;340;476;372
nextauthjs/next-auth;274;139;182;324;310;106;48;77;83;51;27;47
nextcloud/all-in-one;0;0;0;0;0;0;0;0;0;0;8;4
nextcloud/android;579;717;591;1018;887;612;852;666;707;920;718;630
nextcloud/desktop;465;645;590;830;1180;1065;1500;485;835;1250;1175;1264
nextcloud/server;20431;26867;28277;32322;27008;18968;25669;15425;30798;25838;28378;26039
nitrojs/nitro;187;150;92;130;170;171;38;94;133;318;179;95
nlohmann/json;27;15;0;12;3;114;480;666;498;111;246;414
nodejs/node;5915;5341;7631;9836;9771;5917;5241;4805;6664;7106;6787;6438
nodejs/undici;174;212;137;758;703;655;910;174;236;114;230;172
npm/cli;256;103;106;142;205;270;464;148;205;252;204;202
nrwl/nx;32;30;30;30;30;34;33;30;322;880;821;1514
nukeop/nuclear;19;60;72;72;31;36;13;5;29;59;47;8
numba/numba;0;0;0;0;0;0;0;0;0;26;33;54
nunit/nunit;36;55;45;76;50;36;29;32;30;39;12;13
nuwave/lighthouse;15;40;45;37;9;4;24;25;9;21;64;8
nuxt/nuxt;1480;1275;904;1067;1074;787;963;858;1405;1809;1129;933
olifolkerd/tabulator;0;0;0;0;0;0;0;0;0;8;24;14
onnx/onnx;358;626;531;646;959;1016;398;490;594;1342;1298;844
openapi-ts/openapi-typescript;31;103;179;104;52;113;88;112;74;75;116;140
opendatalab/MinerU;68;155;109;80;108;194;270;134;107;69;107;121
openiddict/openiddict-core;19;165;28;34;33;25;31;13;8;36;70;59
openreplay/openreplay;90;123;258;117;196;60;120;178;79;66;219;149
opensearch-project/OpenSearch;1993;1259;1877;2930;1389;1069;667;577;1120;1012;1485;1652
openvinotoolkit/openvino;167;261;1216;2797;1669;3322;8081;11195;31343;38293;35277;32920
optuna/optuna;809;1976;823;701;655;917;1547;1164;443;608;843;1145
oracle/graal;455;433;418;398;494;486;536;374;414;316;305;340
organicmaps/organicmaps;198;164;166;241;144;142;156;161;102;213;13;18
osquery/osquery;266;361;282;289;306;238;78;171;107;96;177;97
ossrs/srs;62;110;45;143;16;36;13;9;3;48;75;77
outline/outline;0;0;0;0;0;0;0;0;0;150;342;318
panda3d/panda3d;7;2;15;19;44;93;22;8;32;13;5;10
pandas-dev/pandas;2095;1752;2176;2503;1847;1803;2058;1189;1759;1573;1402;1264
paperless-ngx/paperless-ngx;436;380;240;347;515;630;445;233;677;765;400;466
paratestphp/paratest;24;16;24;45;35;23;31;19;33;20;39;34
pdm-project/pdm;58;109;118;67;45;64;111;28;20;12;65;63
phan/phan;1;64;46;5;0;1;1;1;0;2;2;17
photoview/photoview;58;131;78;132;180;80;114;36;22;21;9;35
phpmyadmin/phpmyadmin;171;118;121;124;141;237;247;290;440;89;163;129
pimcore/pimcore;188;269;181;201;150;157;217;75;152;305;212;216
playcanvas/engine;285;334;149;179;201;191;299;236;295;238;405;364
pmd/pmd;52;44;66;64;86;72;153;75;75;84;26;48
pmndrs/drei;60;37;63;49;44;187;182;53;99;88;24;10
pnpm/pnpm;404;479;407;325;354;451;364;370;268;579;421;331
